salary_id,job_id,max_salary,med_salary,min_salary,pay_period,currency,compensation_type
7,3884915161,80000.0,,50000.0,YEARLY,USD,BASE_SALARY
14,3887466954,160000.0,,110000.0,YEARLY,USD,BASE_SALARY
16,3884427990,,105000.0,,YEARLY,USD,BASE_SALARY
18,3887467990,80.0,,60.0,HOURLY,USD,BASE_SALARY
26,3884435023,115000.0,,110000.0,YEARLY,USD,BASE_SALARY
47,3884915296,,105000.0,,YEARLY,USD,BASE_SALARY
49,3887475133,72000.0,,65000.0,YEARLY,USD,BASE_SALARY
50,3884436034,68.0,,68.0,HOURLY,USD,BASE_SALARY
54,3887474295,65.0,,60.0,HOURLY,USD,BASE_SALARY
67,3887468932,160000.0,,110000.0,YEARLY,USD,BASE_SALARY
73,3884432572,22.0,,20.0,HOURLY,USD,BASE_SALARY
104,3884435178,32.0,,25.0,HOURLY,USD,BASE_SALARY
122,3887480763,70.0,,70.0,HOURLY,USD,BASE_SALARY
123,3887468619,145000.0,,130000.0,YEARLY,USD,BASE_SALARY
140,3884432560,70000.0,,55000.0,YEARLY,USD,BASE_SALARY
151,3884917043,75.0,,65.0,HOURLY,USD,BASE_SALARY
158,3887480120,155000.0,,140000.0,YEARLY,USD,BASE_SALARY
161,3884430601,105000.0,,90000.0,YEARLY,USD,BASE_SALARY
167,3887488260,68000.0,,62000.0,YEARLY,USD,BASE_SALARY
168,3887475125,35.0,,33.0,HOURLY,USD,BASE_SALARY
173,3884431673,25.0,,20.0,HOURLY,USD,BASE_SALARY
189,3884433362,70000.0,,55000.0,YEARLY,USD,BASE_SALARY
197,3884430616,47.0,,37.0,HOURLY,USD,BASE_SALARY
199,3610032286,130813.0,,1.0,YEARLY,USD,BASE_SALARY
202,3884914341,60.0,,58.0,HOURLY,USD,BASE_SALARY
210,3887482515,85000.0,,73500.0,YEARLY,USD,BASE_SALARY
243,3884429902,72000.0,,60000.0,YEARLY,USD,BASE_SALARY
256,3887482785,175000.0,,120000.0,YEARLY,USD,BASE_SALARY
257,3884438226,51.0,,50.0,HOURLY,USD,BASE_SALARY
289,3884432534,130000.0,,90000.0,YEARLY,USD,BASE_SALARY
294,3884430801,35.0,,32.0,HOURLY,USD,BASE_SALARY
295,3884920383,357000.0,,129000.0,YEARLY,USD,BASE_SALARY
296,3887475434,400000.0,,100000.0,YEARLY,USD,BASE_SALARY
